date,Open,High,Low,Close,Volume,Average,BarCount
2024-06-11 09:30:00-04:00,534.1,534.1,532.05,532.76,741817.0,533.2,3956
2024-06-11 10:00:00-04:00,532.76,534.71,532.59,534.64,476843.0,533.579,3139
2024-06-11 11:00:00-04:00,534.71,534.76,533.68,533.84,483994.0,534.211,2866
2024-06-11 12:00:00-04:00,533.84,534.26,533.55,534.1,275434.0,533.913,1857
2024-06-11 13:00:00-04:00,534.12,535.24,533.73,535.2,368683.0,534.567,2380
2024-06-11 14:00:00-04:00,535.13,536.64,534.95,536.2,652528.0,535.888,4261
2024-06-11 15:00:00-04:00,536.2,537.01,535.62,536.91,1737309.0,536.318,10300
2024-06-12 09:30:00-04:00,541.62,542.96,541.21,542.67,1196406.0,541.98,5762
2024-06-12 10:00:00-04:00,542.68,543.95,542.55,543.09,1054908.0,543.239,6947
2024-06-12 11:00:00-04:00,543.08,543.4,542.53,543.0,608173.0,542.997,4240
2024-06-12 12:00:00-04:00,542.96,543.12,542.42,542.79,416019.0,542.739,2925
2024-06-12 13:00:00-04:00,542.82,543.37,542.19,542.55,458671.0,542.762,2970
2024-06-12 14:00:00-04:00,542.5,543.08,540.73,542.53,1694322.0,542.079,8664
2024-06-12 15:00:00-04:00,542.5,544.12,540.3,541.34,2664393.0,541.8,14346
2024-06-13 09:30:00-04:00,543.14,543.16,541.75,541.99,766428.0,542.675,3464
2024-06-13 10:00:00-04:00,541.99,542.28,540.43,540.56,728602.0,541.156,4142
2024-06-13 11:00:00-04:00,540.58,541.65,540.25,541.22,368541.0,540.982,2542
2024-06-13 12:00:00-04:00,541.16,541.16,539.59,540.74,431065.0,540.385,2966
2024-06-13 13:00:00-04:00,540.73,541.95,540.6,541.69,315566.0,541.457,2171
2024-06-13 14:00:00-04:00,541.68,542.58,541.27,542.49,423378.0,542.189,2602
2024-06-13 15:00:00-04:00,542.5,543.33,542.19,542.41,1593850.0,542.788,8699
2024-06-14 09:30:00-04:00,540.89,541.62,540.68,541.54,834754.0,541.179,4925
2024-06-14 10:00:00-04:00,541.51,541.51,539.85,541.23,882404.0,540.674,5657
2024-06-14 11:00:00-04:00,541.23,541.77,540.28,541.41,548459.0,541.083,3598
2024-06-14 12:00:00-04:00,541.39,541.91,540.95,541.76,373814.0,541.438,2376
2024-06-14 13:00:00-04:00,541.81,542.42,541.55,541.78,323794.0,542.0,2031
2024-06-14 14:00:00-04:00,541.76,542.32,541.18,542.09,431670.0,541.792,2664
2024-06-14 15:00:00-04:00,542.07,542.8,541.86,542.75,1330409.0,542.253,7729
2024-06-17 09:30:00-04:00,542.11,542.44,541.61,542.09,624937.0,542.08,2911
2024-06-17 10:00:00-04:00,542.1,542.99,541.9,542.93,524878.0,542.507,3433
2024-06-17 11:00:00-04:00,542.95,544.03,542.95,543.7,431909.0,543.642,2724
2024-06-17 12:00:00-04:00,543.68,545.9,543.68,545.43,636542.0,544.967,3546
2024-06-17 13:00:00-04:00,545.43,547.53,545.43,547.4,876381.0,546.744,4530
2024-06-17 14:00:00-04:00,547.4,548.41,547.33,547.79,989887.0,547.859,5703
2024-06-17 15:00:00-04:00,547.76,548.39,546.74,547.05,2129483.0,547.394,11831
2024-06-18 09:30:00-04:00,547.16,548.21,547.12,547.53,599092.0,547.615,2787
2024-06-18 10:00:00-04:00,547.54,547.96,546.97,547.1,433052.0,547.544,2566
2024-06-18 11:00:00-04:00,547.12,547.81,546.74,547.81,312596.0,547.263,2068
2024-06-18 12:00:00-04:00,547.81,548.07,547.23,547.85,344901.0,547.638,2148
2024-06-18 13:00:00-04:00,547.84,548.6,547.47,548.12,388718.0,548.038,2497
2024-06-18 14:00:00-04:00,548.11,548.14,547.1,548.03,617095.0,547.767,3377
2024-06-18 15:00:00-04:00,548.01,548.49,547.42,548.49,1479301.0,548.126,7975
2024-06-20 09:30:00-04:00,549.43,550.12,548.82,549.59,680464.0,549.485,2774
2024-06-20 10:00:00-04:00,549.61,549.82,548.4,549.22,661490.0,548.993,4000
