SMA_50,SMA_200,EMA_20,MACD_12_26_9,MACDS_12_26_9,MACDH_12_26_9,RSI_14,STOCHk_14_3_3,STOCHd_14_3_3,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,ATR_14,trade_return_pct,trade_success
547.2202000000001,550.6571499999999,544.1545161394342,-1.2626383131520242,-0.9850537182342143,-0.27758459491780996,35.720090594024825,8.640755797717325,32.519750890276185,539.0828823546409,543.8770000000006,548.6711176453604,2.5409710355384942,0.0183917005363472,1
544.6239999999999,550.5144499999999,544.6294715359613,-1.4000163036268987,-0.04066064373294914,-1.3593556598939496,34.070654112299245,9.143812252694723,13.103043319704247,534.8032313360011,545.3700000000002,555.9367686639994,3.7195832862308364,-0.012113382760428393,0
553.8664000000002,545.5919999999999,558.30761012084,1.252403778771054,2.146197750914261,-0.8937939721432069,43.476468548629086,7.336341557652438,27.431980587717902,556.3503259676768,559.3125000000003,562.2746740323239,2.1130299378500075,0.007650627351442729,1
559.6886000000002,545.6588999999997,560.3895981282631,0.33950715534774645,0.6866666815551847,-0.3471595262074383,43.61767391402482,37.51189379735487,48.62925424578112,558.8429156770862,560.8590000000005,562.8750843229147,1.8316590745677577,0.004709295038229477,0
559.6551999999999,546.4378499999998,557.9730124027699,-1.4357151781601942,-0.618253030476084,-0.8174621476841102,35.293198207892715,1.19516906730357,2.442505649086189,552.9363288550802,559.1760000000006,565.415671144921,2.480741389523267,-0.009265123685782028,0
570.5162000000001,560.4012000000001,571.5021654613269,0.20609733852586487,0.43749990848413534,-0.23140256995827047,43.98654718003233,52.96816723046197,49.00431356171245,569.8592858407823,571.8900000000008,573.9207141592193,1.9911701068805916,0.000895365168539275,0
582.2792000000001,571.7784499999999,582.9912910106619,0.17976274348484367,0.5272732882559609,-0.3475105447711172,43.04891390055362,39.8063009267381,46.02097525080037,581.5701066033347,583.5400000000011,585.5098933966675,1.527055220449698,0.004627638528101441,0
582.7244,572.8971999999999,582.5800338828983,-0.18297189418069593,0.0923972786051471,-0.27536917278584305,40.77029773617673,32.03084658241567,48.90512628771493,580.5780248355702,582.994000000001,585.4099751644319,1.522520540675599,0.004788810032384738,0
580.693,576.19885,580.610695947824,-0.5309441926752925,0.0917977638852081,-0.6227419565605006,27.55589316931573,31.143691394404,44.53255970815477,577.3727666926973,581.059000000001,584.7452333073047,2.013418321631684,0.00043572225320698266,0
587.2523999999999,580.48195,596.2799609042186,2.213867974136747,3.3215012891676254,-1.1076333150308786,49.26164821123003,4.214687684069142,25.085454004689158,595.2854840639453,597.889500000001,600.4935159360567,1.5049276373248797,0.005784526391901634,1
594.7191999999999,582.5623,596.4529948246308,0.15605160352697567,0.8723383174990194,-0.7162867139720437,39.4314024461706,17.643421608251753,27.091753634553186,594.2123829904644,597.0060000000009,599.7996170095373,1.6891610623663136,-0.00855362855699604,0
604.2993999999999,592.1935500000003,606.8590986192455,0.7978087378492091,1.207328045546043,-0.40951930769683376,45.16158622065772,33.97129491542761,44.4499544023468,605.6902494334731,607.396500000001,609.1027505665288,1.1570881533042265,0.002048300241170864,0
605.2863999999998,599.5773,604.4480932438962,-0.7915775929719757,-0.2959161485605415,-0.4956614444114342,24.666108626220833,37.11699425432846,50.7603095601863,600.4524814790663,605.1430000000012,609.8335185209361,1.852738744019663,-0.00655567292054382,0
595.5305999999999,598.8957500000004,595.1165696239452,-1.1996008457667813,-0.05357999039805467,-1.1460208553687266,30.907389918730804,24.7109449192785,27.97107470718613,588.6359044292835,597.188500000001,605.7410955707185,3.0421353725592786,0.008458357540753747,1
592.5319999999998,598.8976500000003,588.1732805869675,-2.4981744741444345,-2.167770173737096,-0.3304043004073387,34.687567587810804,26.000196468749113,39.54143311827931,582.0282075639446,587.9540000000011,593.8797924360575,3.2783776289832427,0.010500085925416736,1
589.7168,598.6532,589.4936779022908,-1.3920144746249434,-0.6787817221782826,-0.7132327524466608,34.295122041944715,21.69147767501185,22.90989315038893,583.0690401668784,591.235000000001,599.4009598331237,3.0650982037131436,0.0008748156025935039,0
601.0132000000001,595.6095499999999,606.0515686643951,1.2812395215410106,2.491078331655649,-1.2098388101146385,32.26683050901445,35.11257136276682,39.37594617944705,602.8500941757246,607.416000000001,611.9819058242773,2.2618713939317763,0.008736761217466915,1
604.0378,595.0603500000001,603.5631599683364,-0.44570728481448896,0.6248065184281252,-1.0705138032426142,28.465000516818193,15.487361631382248,36.74601397919111,596.3907519409103,603.8785000000008,611.3662480590914,3.205063195440221,0.01648648648648643,1
607.4406000000004,600.3542999999999,609.9750129182789,0.7220996544235732,1.1787998825401362,-0.4567002281165631,41.64540823809747,33.526022898629144,63.23227162649366,607.8374320456473,610.4495000000004,613.0615679543534,1.760414852858379,0.00502189877169279,1
608.0302000000003,601.2234,608.5177656086873,-0.626200214230721,0.06327865458091742,-0.6894788688116384,33.11425273502614,9.998417485850883,19.392094060911603,604.8631889908298,609.4030000000004,613.9428110091709,1.8721544660283789,-0.008280613427842698,0
601.376,603.0135999999999,594.8390192183671,-2.465854853433939,-2.4699841693102176,0.0041293158762787385,32.69462240283529,25.005068153105544,28.393822113517857,589.8836959489477,594.2170000000003,598.550304051053,3.329694431543579,0.008094349227897757,1
594.1759999999999,602.258,588.6717828750984,-2.854673332093853,-2.13579729744728,-0.718876034646573,27.686250919110645,16.03523519421661,30.556631463359523,579.3667869870791,588.5465000000002,597.7262130129212,4.416499232785459,0.012801361773084219,1
